eeg_mean,eeg_variance,EEG_feature
9568545811448.531,2.2985125094300746e+29,1.0005460005521951
770195995140.447,7.620928530959427e+26,1.0000018103147879
681345578343.9988,5.954642829096912e+26,1.0000014144966622
5395538733172.974,3.7032933107066387e+28,1.0000879699450966
16278932.909146002,3.25172060244801e+17,1.0000000000000007
17087021.190029945,2.8118632112024445e+17,1.0000000000000007
14005805.591944363,2.5555935248216992e+17,1.0000000000000007
135984714309.35204,2.3521499143130336e+25,1.000000055874186
846553324300.3424,9.208877938927477e+26,1.000002187524505
2605378638722.7896,8.623965204683532e+27,1.0000204858130837
9457612.290114144,1.1722931741310763e+17,1.0000000000000002
2715423761.7737474,4.930380931869972e+21,1.000000000011712
4955987051793.097,3.1401294239684043e+28,1.0000745922587941
1071748750795.4535,1.5608853751259282e+27,1.000003707807868
137160372128.03671,4.807719579102815e+25,1.000000114205058
16352676.210088538,1.943012048878042e+17,1.0000000000000004
19872837865.473816,6.281523728202724e+23,1.0000000014921455
1917890306751.701,4.6889871961098984e+27,1.000011138462757
608298463280.7716,4.729024348590143e+26,1.000001123356908
3630543822041.7104,2.2169007379773394e+28,1.000052661406981
27704121.3815633,7.72169092317434e+17,1.0000000000000018
6335127.325940554,5.718269190177936e+16,1.0000000000000002
111401498.76496536,2.2179977229240463e+19,1.0000000000000526
10732256.006448904,1.4300543891228923e+17,1.0000000000000002
52241217.19507613,3.493890881832799e+18,1.0000000000000082
24150511.64579882,5.836454518300768e+17,1.0000000000000013
2258311933.447111,4.753774285194815e+21,1.0000000000112923
13749361.152350469,2.4036715250734646e+17,1.0000000000000007
353429926201.8286,1.6349580784883214e+26,1.0000003883764
438381910147.4101,2.4586777864672123e+26,1.0000005840470407
1463146574264.5208,2.753140304055777e+27,1.0000065399519042
369705977.2144431,3.259760291099716e+20,1.0000000000007743
328766636735.64185,1.374063550376391e+26,1.000000326402164
476752851040.5039,2.8947276058869207e+26,1.0000006876285705
2360167930592.481,7.166010084721627e+27,1.0000170225110685
11583618.843687575,1.7299976719272406e+17,1.0000000000000004
27213496.95771221,9.39592707227893e+17,1.0000000000000022
20085512.878393732,5.113385853243732e+17,1.000000000000001
2594336414932.5435,8.596426121352429e+27,1.0000204203953205
6688669700968.981,5.695603127788643e+28,1.000135296303157
1555566048523.1318,3.2541641949076156e+27,1.0000077301099735
11181257.319305375,1.589963177548275e+17,1.0000000000000004
714853193652.094,6.520127646474976e+26,1.0000015488248513
1778959647343.3044,4.0268710127239105e+27,1.0000095656377224
7811634.881295475,8.633883594121173e+16,1.0000000000000002
382269618982.49347,1.862417451772317e+26,1.0000004424082762
15403021.341872966,3.786976297817949e+17,1.0000000000000009
19219375.01095506,4.673793766305087e+17,1.000000000000001
11000220.269281643,1.4835513716452032e+17,1.0000000000000004
5780721.964980212,3.451743109394851e+16,1.0
22294092.26243395,7.383206562882469e+17,1.0000000000000018
7231363.7948971735,6.623226197368565e+16,1.0000000000000002
193933898838.06018,4.788856609636271e+25,1.0000001137569772
559347247001.4318,3.994219976887613e+26,1.0000009488076762
791494565849.0796,8.287434089388296e+26,1.0000019686399664
2074099689665.7402,6.009442491359751e+27,1.0000142751405754
16064184.920168908,3.2707002472768326e+17,1.0000000000000007
5024898.147689961,2.9761831300805236e+16,1.0
10369748.980332192,1.465605188261484e+17,1.0000000000000002
22657962.69947357,8.649776423697908e+17,1.000000000000002
1004419442080.7041,1.4432328060421117e+27,1.000003428329869
341637219.60422176,1.4153253277349754e+20,1.0000000000003362
557917919497.7325,3.9776507183712706e+26,1.0000009448717289
23335785.168177024,7.013365945538456e+17,1.0000000000000016
19419741.311274022,2.1887555457305475e+17,1.0000000000000004
225265513844.0882,6.86991449129177e+25,1.0000001631915028
15787763429.0828,5.733937328062025e+23,1.0000000013620691
967062790.0164076,4.968295461197374e+20,1.0000000000011802
14341228.530062318,2.559771845326953e+17,1.0000000000000007
394009522366.1779,2.020251600974049e+26,1.0000004799010165
626896677783.4812,5.19752242533652e+26,1.000001234646365
683127461252.5092,5.9547389334758845e+26,1.0000014145194913
32062881207.33839,1.4195804897014734e+24,1.000000003372145
10007782.944802593,1.2658363491348997e+17,1.0000000000000002
114000621.78451519,1.8940952757520065e+19,1.000000000000045
18465080.038520142,2.9632615184252806e+17,1.0000000000000007
11845871.096086735,1.8848451406970358e+17,1.0000000000000004
7846665.292179211,8.041610703815462e+16,1.0000000000000002
32199830.439865626,1.4980397918164093e+18,1.0000000000000036
15975008.773995416,3.9005991015167584e+17,1.0000000000000009
8257613.896343135,9.316803337076792e+16,1.0000000000000002
9223577.30271524,1.0853816306705973e+17,1.0000000000000002
245971570.63577303,8.543987154626259e+19,1.000000000000203
5387691346.989394,3.8658889414179675e+22,1.0000000000918323
11861757690262.98,1.8420952808587727e+29,1.0004375808425747
40974743929.06405,2.0767914890671781e+24,1.000000004933318
